frecuencia_Hz,amplitud_FFT_V
29960.0,0.03158239846124309
30000.0,0.03622373328558731
30040.0,0.024084477648677896
30080.0,0.005298256573724682
30120.0,0.08219084394303629
30160.0,0.0677987467550528
30200.0,0.05793885070041923
30240.0,0.09054406650984195
30280.0,0.038102411824782835
30320.0,0.05475049453783788
30360.0,0.015539002926593284
30400.0,0.03373315324672123
30440.0,0.05207668274415809
30480.0,0.03863293440970313
30520.0,0.030041163338500463
30560.0,0.022332269017396565
30600.0,0.025437969299758105
30640.0,0.05155740035474982
30680.0,0.03893095379408181
30720.0,0.07412761607885716
30760.0,0.027184992281220195
30800.0,0.03661009363772525
30840.0,0.04546451294463115
30880.0,0.04619747568168943
30920.0,0.031862431099256704
30960.0,0.04091639717044067
31000.0,0.017911471800160353
31040.0,0.04333187540447827
31080.0,0.025633201006466988
31120.0,0.05009434159949509
31160.0,0.010945167756672623
31200.0,0.053773142743489585
31240.0,0.05294853541885282
31280.0,0.04308056843088776
31320.0,0.0396704799629232
31360.0,0.08018459044228278
31400.0,0.033909919953221936
31440.0,0.055430862449463464
31480.0,0.01921029121431284
31520.0,0.046370927303054074
31560.0,0.06233080898346401
31600.0,0.015908743856123345
31640.0,0.06272197055834447
31680.0,0.057592785576882785
31720.0,0.047015534470690026
31760.0,0.043776324324158476
31800.0,0.06428301057869676
31840.0,0.02741104765058826
31880.0,0.048399838669840684
31920.0,0.021732540164947915
31960.0,0.06824808081080493
32000.0,0.014898452546801118
32040.0,0.008772914767569927
32080.0,0.026444505179779993
32120.0,0.08336984327444587
32160.0,0.03299684040489655
32200.0,0.031134043623293587
32240.0,0.031271419996300474
32280.0,0.08133598189793943
32320.0,0.042837832558580057
32360.0,0.02037378409107538
32400.0,0.042047870513442935
32440.0,0.0675298604406781
32480.0,0.018821410096667383
32520.0,0.0735317305759873
32560.0,0.04849116531857666
32600.0,0.01847044985135211
32640.0,0.06870451885397348
32680.0,0.06938997754760601
32720.0,0.03150155571039588
32760.0,0.09093402856189
32800.0,0.042264534000456544
32840.0,0.006995070740453462
32880.0,0.11214135772658139
32920.0,0.05433891825514105
32960.0,0.029466975980941897
33000.0,0.04576137655407676
33040.0,0.04778083301528507
33080.0,0.07793455794141428
33120.0,0.0741095939811677
33160.0,0.01347872944266717
33200.0,0.024762858059103648
33240.0,0.023753429592573882
33280.0,0.029223472869269466
33320.0,0.019901250848246056
33360.0,0.02837853033828511
33400.0,0.010004857711657886
33440.0,0.014372597065777136
33480.0,0.031082256930147104
33520.0,0.010071440198975089
33560.0,0.06326195812334506
33600.0,0.0607209706628607
33640.0,0.037901152100708546
